"","NU_INSCRICAO","NO_MUNICIPIO_RESIDENCIA","UF_RESIDENCIA","COD_ESCOLA","NO_MUNICIPIO_ESC","UF_ESC","ID_DEPENDENCIA_ADM_ESC","ID_LOCALIZACAO_ESC","IDADE","TP_SEXO","NO_MUNICIPIO_NASCIMENTO","UF_NASCIMENTO","ST_CONCLUSAO","ANO_CONCLUIU","TP_ESCOLA","TP_COR_RACA","IN_CERTIFICADO","NOTA_CN","NOTA_CH","NOTA_LC","NOTA_MT","NU_NOTA_REDACAO","Q003","Q004","Q022","Q023","Q024","Q025","Q026","Q027","Q028","Q029","Q035","Q040","Q048","Q054","media"
"156481",6.91692677316371e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,0,576.7,659.6,593.9,447,640,"P",4,"C",5,5,NA,5,4,0,0,"",NA,"","",583.44
"203280",6.91692908539093e-313,"NOVA LIMA","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,703.8,630.2,582.7,745.6,600,"Q",4,"C",4,5,NA,5,3,2,0,"",NA,"","",652.46
"253579",6.91693157054113e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,710.9,734.7,643.8,825.8,840,"P",4,"C",5,5,NA,5,4,5,5,"",NA,"","",751.04
"335461",6.91693561604945e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"M","BELO HORIZONTE","MG",2,NA,2,1,0,726.1,677.2,660.3,913.4,700,"Q",4,"C",3,4,NA,5,0,0,0,"",NA,"","",735.4
"354685",6.91693656584125e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,1,593.9,670.6,575.2,771.7,600,"J",7,"C",4,4,NA,5,5,4,4,"C",NA,"","B",642.28
"649689",6.91695114142009e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,662.9,668.7,645.9,780.4,920,"O",4,"C",5,4,NA,5,5,2,0,"",NA,"","",735.58
"798481",6.91695849286987e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,19,"M","BELO HORIZONTE","MG",2,NA,2,1,1,579.9,633.8,622.7,727,760,"L",4,"C",3,5,NA,5,5,5,5,"C",NA,"","B",664.68
"928926",6.91696493790681e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,0,559.3,583.5,605.9,623.2,840,"Q",4,"C",3,3,NA,5,4,1,4,"",NA,"","",642.38
"250449",6.91698082384655e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,1,0,562,621.8,561.1,641.1,620,"K",4,"C",3,4,NA,3,4,4,3,"",NA,"","",601.2
"282877",6.91698242610144e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,18,"F","BELO HORIZONTE","MG",2,NA,2,3,0,658.6,685.8,602.3,803.4,700,"P",3,"C",2,0,NA,5,1,0,0,"",NA,"","",690.02
"293738",6.91698296270614e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","BELO HORIZONTE","MG",2,NA,2,3,NA,480.6,591.7,572.8,617,640,"J",3,"C",0,5,NA,5,3,2,5,"",NA,"","",580.42
"685199",6.91700230399279e-313,"BELO HORIZONTE","MG",31004278,"BELO HORIZONTE","MG",4,1,17,"F","BELO HORIZONTE","MG",2,NA,2,1,NA,615.6,665.9,570.8,641.8,920,"L",3,"C",4,2,NA,5,2,1,2,"",NA,"","",682.82
